date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,rain_sum,precipitation_hours,sunshine_duration
2012-01-01,26.205751,30.562,23.112,0,0,36309.457
2012-01-02,26.0495,30.462,22.662,0,0,36034.824
2012-01-03,25.316164,31.212,20.662,0,0,36792.152
2012-01-04,25.411997,32.412,20.062,0,0,36897.8
2012-01-05,25.999504,32.512,20.412,0,0,36805.586
2012-01-06,25.818247,32.462,20.562,0,0,37101.312
2012-01-07,25.234917,32.211998,19.312,0,0,37303.37
2012-01-08,24.087,31.212,18.212,0,0,37407.023
2012-01-09,22.868248,29.962,16.862,0,0,37496.035
2012-01-10,22.962,29.662,16.962,0,0,37516.55
2012-01-11,23.847414,29.462,18.262001,0,0,37079.32
2012-01-12,24.534914,30.212,19.762001,0,0,37579.75
2012-01-13,24.780748,30.212,20.162,0,0,37609.81
2012-01-14,23.9245,29.962,18.512001,0,0,37640.875
2012-01-15,23.634916,31.762001,17.112,0,0,37672.914
2012-01-16,23.391167,30.262001,16.712,0,0,37706.023
2012-01-17,23.066168,31.012001,16.262,0,0,37740.645
2012-01-18,22.55783,28.462,17.362,0,0,37776.67
2012-01-19,21.882833,26.412,17.812,0,0,37814.027
2012-01-20,21.528666,27.412,16.462,0,0,37852.65
2012-01-21,23.005747,29.512001,17.212,0,0,37892.465
2012-01-22,23.107834,28.662,18.212,0,0,37933.406
2012-01-23,23.895332,29.012001,19.512001,0,0,37975.406
2012-01-24,24.5245,30.562,19.562,0,0,38018.395
2012-01-25,23.999498,29.862,19.312,0,0,38062.3
2012-01-26,23.853666,29.712,19.112,0,0,38107.074
2012-01-27,23.441168,30.112,18.212,0,0,38152.63
2012-01-28,23.201584,29.312,18.112,0,0,38198.918
2012-01-29,22.99325,29.512001,17.512001,0,0,38245.875
2012-01-30,23.101583,29.912,17.112,0,0,38293.43
2012-01-31,24.132833,30.512001,18.362,0,0,38341.535
2012-02-01,25.553665,33.062,19.912,0,0,38390.125
2012-02-02,26.234917,32.112,20.262001,0,0,38436.758
2012-02-03,26.151583,34.062,21.062,0,0,38469.17
2012-02-04,25.755747,31.262001,20.312,0,0,38500.84
2012-02-05,25.666168,31.662,20.062,0,0,38531.766
2012-02-06,25.50367,31.662,20.512001,0,0,38562.156
2012-02-07,24.957832,31.312,20.662,0,0,38592.04
2012-02-08,23.697416,29.562,19.412,0,0,38621.41
2012-02-09,22.878668,30.562,16.912,0,0,38650.266
2012-02-10,23.807833,31.962,16.712,0,0,38678.61
2012-02-11,23.999502,30.462,17.412,0,0,38706.43
2012-02-12,24.072416,30.462,17.662,0,0,38733.734
2012-02-13,24.38075,31.012001,18.662,0,0,38760.52
2012-02-14,24.680754,31.512001,19.062,0,0,38786.785
2012-02-15,24.828665,30.862,20.312,0,0,38812.527
2012-02-16,24.149498,30.412,19.062,0,0,38837.758
2012-02-17,24.201582,32.262,17.062,0,0,38862.47
2012-02-18,25.953665,32.912,18.862,0,0,38886.668
2012-02-19,27.314087,33.612,21.912,0,0,38910.355
2012-02-20,28.172417,37.312,21.512001,0,0,38933.535
2012-02-21,27.976583,36.512,21.312,0,0,38956.215
2012-02-22,27.495333,34.462,21.812,0,0,38978.395
2012-02-23,26.903664,34.262,20.612,0,0,39000.082
2012-02-24,26.962004,34.412,21.312,0,0,39021.28
2012-02-25,26.65158,34.612,20.062,0,0,39059.42
2012-02-26,27.653664,34.612,21.462,0,0,39075.52
2012-02-27,28.053665,35.612,21.412,0,0,39152.95
2012-02-28,26.34117,33.162,20.362,0,0,39169.152
2012-02-29,25.464087,32.262,19.562,0,0,39251.598
2012-03-01,24.697418,31.962,18.012001,0,0,39337.754
2012-03-02,24.03492,31.212,17.062,0,0,39355.38
2012-03-03,24.114082,29.862,19.162,0,0,39169.28
2012-03-04,26.112001,33.362,19.962,0,0,39233.445
2012-03-05,26.920332,34.412,19.812,0,0,39480.84
2012-03-06,26.203665,32.512,20.912,0,0,39577.9
2012-03-07,25.337,31.812,20.862,0,0,39594.71
2012-03-08,23.901583,28.012001,19.962,0,0,39610.496
2012-03-09,23.747416,29.712,18.412,0,0,39625.332
2012-03-10,24.637001,31.762001,18.462,0,0,39909.3
2012-03-11,25.162,31.712,19.312,0,0,39928.41
2012-03-12,25.99117,33.062,20.162,0,0,39946.59
2012-03-13,26.895334,34.512,21.312,0,0,40059.75
2012-03-14,29.343252,38.762,21.612,0,0,40273.523
2012-03-15,28.043253,33.562,22.862,0,0,40394.15
2012-03-16,27.093248,33.112,21.412,0,0,40314.836
2012-03-17,26.759918,33.062,21.462,0,0,40333.934
2012-03-18,26.755747,32.712,21.562,0,0,40561.285
2012-03-19,27.020332,33.562,20.962,0,0,40794.285
2012-03-20,27.322416,33.962,21.612,0,0,40924.906
2012-03-21,26.8995,32.912,21.512001,0,0,41057.734
2012-03-22,26.730751,32.262,21.812,0,0,41192.74
2012-03-23,26.757833,32.412,21.862,0,0,41217.113
2012-03-24,27.872416,34.162,22.112,0,0,41335.668
2012-03-25,27.499502,32.812,22.362,0,0,41393.426
2012-03-26,27.541168,32.462,22.712,0,0,40112.227
2012-03-27,27.789083,32.462,23.562,0,0,41508.508
2012-03-28,27.703667,32.312,23.012001,0,0,40484.76
2012-03-29,27.639084,32.412,23.712,0,0,41622.742
2012-03-30,27.832832,32.062,24.412,0,0,40380.934
2012-03-31,28.128664,33.012,24.062,0,0,41133.082
2012-04-01,28.52658,33.712,24.062,0.2,1,41791.875
2012-04-02,28.895334,32.762,24.062,0.4,2,41847.51
2012-04-03,29.126585,33.762,25.862,0,0,39939.55
2012-04-04,28.482834,32.912,26.312,0.1,1,40288.68
2012-04-05,28.655748,33.412,25.562,0,0,41465.17
2012-04-06,28.497414,33.762,24.712,0,0,41087.418
2012-04-07,28.391167,34.062,24.162,0,0,42119.234
2012-04-08,28.516167,33.762,24.012001,0,0,42172.957
2012-04-09,28.555748,33.162,25.212,0,0,41247.242
2012-04-10,28.822416,33.812,26.162,0,0,40436.324
2012-04-11,28.612001,33.262,25.712,0,0,41113.41
2012-04-12,28.41408,32.662,25.512001,0,0,42212.613
2012-04-13,28.845337,34.912,23.512001,0,0,42386.742
