date,market_id,district_id,district_name,p_min,p_max,p_modal
2025-08-23,176,526,Solapur,2600,2600,2600
2025-08-23,2473,519,Mumbai,8000,10000,9000
2025-08-21,2473,519,Mumbai,7000,9000,8000
2025-08-20,2473,519,Mumbai,7000,9000,8000
2025-08-19,2473,519,Mumbai,7000,9000,8000
2025-08-19,163,505,Nagpur,3000,3500,3375
2025-08-16,2473,519,Mumbai,8000,10000,9000
2025-08-16,163,505,Nagpur,3000,3500,3350
2025-08-14,2473,519,Mumbai,6000,10000,8000
2025-08-14,168,516,Nashik,2000,4000,3000
2025-08-14,163,505,Nagpur,3000,3500,3375
2025-08-13,163,505,Nagpur,3000,3500,3350
2025-08-13,2473,519,Mumbai,6000,14000,10000
2025-08-12,163,505,Nagpur,3000,3500,3350
2025-08-12,4752,521,Pune,10000,10000,10000
2025-08-12,2473,519,Mumbai,6000,14000,10000
2025-08-11,2473,519,Mumbai,6000,14000,10000
2025-08-11,2496,531,Sangli,2000,3500,2750
2025-08-11,163,505,Nagpur,3000,3500,3350
2025-08-10,4752,521,Pune,7000,7000,7000
2025-08-09,168,516,Nashik,2000,4000,3000
2025-08-09,2473,519,Mumbai,6000,14000,10000
2025-08-08,163,505,Nagpur,3000,5000,4500
2025-08-08,2473,519,Mumbai,6000,13000,9500
2025-08-07,163,505,Nagpur,3000,3500,3375
2025-08-07,4752,521,Pune,5000,5000,5000
2025-08-07,2473,519,Mumbai,6000,12000,9000
2025-08-06,2496,531,Sangli,1500,3000,2250
2025-08-06,163,505,Nagpur,3000,3500,3350
2025-08-06,163,505,Nagpur,1000,1500,1375
2025-08-06,2473,519,Mumbai,6000,8000,7000
2025-08-05,153,522,Ahmadnagar,2500,3000,2750
2025-08-05,581,515,Aurangabad,3000,4500,3750
2025-08-05,2473,519,Mumbai,6000,10000,8000
2025-08-04,2473,519,Mumbai,6000,10000,8000
2025-08-04,2496,531,Sangli,2000,3000,2500
2025-08-04,163,505,Nagpur,1200,1800,1650
2025-08-04,163,505,Nagpur,3000,3400,3300
2025-08-03,4752,521,Pune,4000,4000,4000
2025-08-03,168,516,Nashik,2000,4000,3000
2025-08-02,163,505,Nagpur,1000,1500,1375
2025-08-02,2496,531,Sangli,1500,3000,2250
2025-08-02,4752,521,Pune,3000,4000,3500
2025-08-02,168,516,Nashik,2000,4000,3000
2025-08-02,163,505,Nagpur,3000,3500,3375
2025-08-02,2473,519,Mumbai,6000,10000,8000
2025-08-01,163,505,Nagpur,3000,3500,3350
2025-08-01,1806,526,Solapur,2500,3200,3000
2025-08-01,2496,531,Sangli,1000,2000,1500
2025-08-01,4752,521,Pune,5000,5000,5000
2025-08-01,163,505,Nagpur,1000,1500,1375
2025-08-01,2473,519,Mumbai,6000,10000,8000
2025-07-31,4752,521,Pune,3000,4000,3500
2025-07-31,1806,526,Solapur,3000,3800,3500
2025-07-31,153,522,Ahmadnagar,2000,3000,2500
2025-07-31,2496,531,Sangli,1000,2000,1500
2025-07-31,2473,519,Mumbai,6000,10000,8000
2025-07-30,1806,526,Solapur,2000,3200,3000
2025-07-30,581,515,Aurangabad,3000,4000,3500
2025-07-30,2496,531,Sangli,1000,2500,1750
2025-07-30,168,516,Nashik,2000,4000,3000
2025-07-30,163,505,Nagpur,1000,1500,1375
2025-07-30,163,505,Nagpur,3000,3500,3375
2025-07-30,2473,519,Mumbai,6000,10000,8000
2025-07-30,1803,522,Ahmadnagar,1500,4000,2750
2025-07-30,1435,522,Ahmadnagar,2000,3000,2500
2025-07-29,163,505,Nagpur,1000,1500,1325
2025-07-29,163,505,Nagpur,3000,3500,3375
2025-07-29,581,515,Aurangabad,2500,3000,2750
2025-07-29,4752,521,Pune,3000,3000,3000
2025-07-28,2496,531,Sangli,1000,2500,1750
2025-07-28,4752,521,Pune,3000,7000,5000
2025-07-28,168,516,Nashik,2000,4000,3000
2025-07-28,163,505,Nagpur,3000,3500,3350
2025-07-28,163,505,Nagpur,1000,1500,1375
2025-07-28,2473,519,Mumbai,6000,8000,7000
2025-07-28,153,522,Ahmadnagar,1000,3000,2000
2025-07-28,158,514,Jalna,500,3000,1600
2025-07-28,581,515,Aurangabad,2500,3500,3000
2025-07-28,1806,526,Solapur,2500,3500,3000
2025-07-28,176,526,Solapur,1000,3000,2000
2025-07-27,168,516,Nashik,1500,3000,2500
2025-07-27,581,515,Aurangabad,1500,2000,1750
2025-07-27,1806,526,Solapur,3000,3500,3300
2025-07-27,4752,521,Pune,3000,7000,5000
2025-07-26,2473,519,Mumbai,6000,12000,9000
2025-07-25,168,516,Nashik,1500,3000,2500
2025-07-25,1806,526,Solapur,2500,3500,3000
2025-07-25,2496,531,Sangli,1000,2500,1750
2025-07-25,4752,521,Pune,3000,8000,5500
2025-07-25,2473,519,Mumbai,6000,12000,9000
2025-07-24,163,505,Nagpur,1000,1500,1375
2025-07-24,581,515,Aurangabad,1600,2500,2050
2025-07-24,1806,526,Solapur,2000,3000,2600
